epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.8403,4.06441,6.5664,5.26458,0.00021,0.15993,0.00016,6e-05,2.7831,5.3986,4.12914,0.000252869,0.000252869,0.000252869
2,45.3003,3.85735,6.06887,4.70691,0.00074,0.17754,0.01074,0.00143,2.78097,5.23489,3.56388,0.000506237,0.000506237,0.000506237
3,61.1794,3.61727,5.40976,4.20112,0.35209,0.05108,0.0321,0.00888,2.66054,4.71752,3.2759,0.00075662,0.00075662,0.00075662
4,76.694,3.19774,4.82,3.74839,0.43848,0.1093,0.11388,0.04425,2.38726,4.26209,2.8837,0.000755565,0.000755565,0.000755565
5,92.2732,2.99251,4.34576,3.42738,0.19209,0.11328,0.11839,0.05408,2.27707,3.80753,2.67535,0.000751087,0.000751087,0.000751087
6,107.632,2.82414,4.01962,3.21461,0.27091,0.15949,0.11591,0.04948,2.1265,3.71688,2.56591,0.000746609,0.000746609,0.000746609
7,123.253,2.65096,3.68174,3.04076,0.30439,0.22894,0.19869,0.09499,2.14512,3.44509,2.49355,0.00074213,0.00074213,0.00074213
8,138.932,2.55447,3.48619,2.91585,0.35574,0.2281,0.19482,0.0837,2.04728,3.25076,2.34475,0.000737652,0.000737652,0.000737652
9,154.401,2.42981,3.27428,2.77792,0.27273,0.22637,0.15452,0.07707,2.01604,3.5458,2.39592,0.000733174,0.000733174,0.000733174
10,170.006,2.35427,3.13525,2.70859,0.36064,0.38678,0.26423,0.13859,2.04824,2.87066,2.19696,0.000728695,0.000728695,0.000728695
11,185.718,2.27419,2.98455,2.60465,0.32409,0.31043,0.22383,0.13018,1.85597,3.1723,2.19297,0.000724217,0.000724217,0.000724217
12,201.393,2.1947,2.86152,2.52826,0.35086,0.34625,0.31701,0.18066,1.75097,2.46874,1.92258,0.000719739,0.000719739,0.000719739
13,216.972,2.14557,2.74261,2.47321,0.34443,0.43125,0.38603,0.21555,1.8216,2.62927,1.98096,0.00071526,0.00071526,0.00071526
14,232.78,2.07125,2.64218,2.39295,0.60667,0.24311,0.35721,0.20229,1.8543,2.92279,2.06522,0.000710782,0.000710782,0.000710782
15,248.495,2.05887,2.60155,2.38162,0.39861,0.46546,0.40307,0.23558,1.62669,2.41103,1.8302,0.000706304,0.000706304,0.000706304
16,264.634,1.99483,2.46811,2.30008,0.3471,0.44326,0.39539,0.22488,1.77095,2.71357,1.91897,0.000701826,0.000701826,0.000701826
17,281.032,1.96007,2.44284,2.27718,0.42469,0.46489,0.44573,0.23776,1.71509,2.24393,1.82917,0.000697347,0.000697347,0.000697347
18,296.863,1.93611,2.39313,2.24304,0.46219,0.5806,0.53381,0.28356,1.64578,2.12973,1.78243,0.000692869,0.000692869,0.000692869
19,312.741,1.91264,2.33048,2.22814,0.36575,0.44725,0.40509,0.20826,1.82943,2.41645,1.91031,0.000688391,0.000688391,0.000688391
20,328.438,1.84349,2.27625,2.16783,0.50296,0.49246,0.49049,0.28904,1.46966,1.99964,1.67308,0.000683912,0.000683912,0.000683912
21,344.1,1.79166,2.14471,2.10996,0.41275,0.55588,0.45062,0.27547,1.54096,1.98823,1.72248,0.000679434,0.000679434,0.000679434
22,360.135,1.83057,2.19236,2.12864,0.511,0.53332,0.47629,0.29662,1.36348,1.88897,1.63255,0.000674956,0.000674956,0.000674956
23,376.11,1.76707,2.13242,2.1022,0.56627,0.43672,0.54498,0.34809,1.45951,2.21902,1.69457,0.000670478,0.000670478,0.000670478
24,391.696,1.78013,2.11164,2.09018,0.4659,0.54648,0.50051,0.32205,1.37379,2.12221,1.60078,0.000665999,0.000665999,0.000665999
25,407.809,1.70293,1.9796,2.01095,0.53128,0.43916,0.50858,0.31148,1.59425,2.1741,1.75796,0.000661521,0.000661521,0.000661521
26,424.169,1.68235,1.95296,1.99564,0.5251,0.57831,0.56115,0.37324,1.33601,1.75121,1.5624,0.000657043,0.000657043,0.000657043
27,440.546,1.66511,1.94023,1.9821,0.4737,0.59742,0.52747,0.34073,1.44629,2.07519,1.65353,0.000652564,0.000652564,0.000652564
28,457.081,1.67407,1.91893,1.98079,0.4789,0.58045,0.52312,0.3255,1.48252,1.84954,1.61612,0.000648086,0.000648086,0.000648086
29,473.555,1.63849,1.87619,1.9359,0.53917,0.5504,0.55351,0.3438,1.43713,1.87588,1.63777,0.000643608,0.000643608,0.000643608
30,490.437,1.64397,1.86929,1.94391,0.54806,0.64272,0.60018,0.40349,1.35142,1.85111,1.53835,0.000639129,0.000639129,0.000639129
31,507.547,1.61821,1.85205,1.9147,0.48761,0.60217,0.62052,0.39486,1.32662,1.61787,1.49507,0.000634651,0.000634651,0.000634651
32,524.243,1.57589,1.77259,1.86841,0.59389,0.56662,0.63016,0.39525,1.50041,1.84503,1.60756,0.000630173,0.000630173,0.000630173
33,540.985,1.55504,1.72444,1.85213,0.54553,0.68219,0.6133,0.42354,1.19203,1.39705,1.42157,0.000625695,0.000625695,0.000625695
34,557.665,1.555,1.73194,1.85751,0.63816,0.67475,0.71533,0.46165,1.27944,1.44376,1.49971,0.000621216,0.000621216,0.000621216
35,574.204,1.53449,1.68463,1.83234,0.78769,0.5477,0.67011,0.44247,1.34795,1.81053,1.54002,0.000616738,0.000616738,0.000616738
36,590.675,1.53277,1.6697,1.81985,0.52406,0.60175,0.61537,0.40216,1.40651,1.7302,1.52102,0.00061226,0.00061226,0.00061226
37,607.025,1.50782,1.67318,1.81266,0.59386,0.58554,0.58483,0.38019,1.41572,1.95692,1.59819,0.000607781,0.000607781,0.000607781
38,623.302,1.50345,1.60407,1.78955,0.65264,0.70541,0.72307,0.474,1.17968,1.45788,1.43572,0.000603303,0.000603303,0.000603303
39,639.533,1.47566,1.58422,1.76878,0.55183,0.66909,0.65245,0.40906,1.4399,1.6802,1.53465,0.000598825,0.000598825,0.000598825
40,655.83,1.48864,1.58624,1.78467,0.5045,0.61628,0.60508,0.39772,1.33835,1.65086,1.50064,0.000594347,0.000594347,0.000594347
