epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.5877,3.06335,4.90449,4.25499,0.00012,0.1229,5e-05,2e-05,2.78646,4.9311,4.12322,0.000252869,0.000252869,0.000252869
2,40.1047,2.94693,4.62314,3.81161,0.44782,0.07775,0.00904,0.00178,2.91548,5.93277,3.69553,0.000506237,0.000506237,0.000506237
3,55.1689,2.73877,4.16322,3.33412,0.00706,0.41681,0.04068,0.00753,2.64985,4.55558,3.48805,0.00075662,0.00075662,0.00075662
4,69.2036,2.38632,3.81682,2.94529,0.33868,0.11844,0.10923,0.04675,2.31011,4.06285,2.99387,0.000755565,0.000755565,0.000755565
5,83.4781,2.20548,3.43488,2.6979,0.37929,0.1479,0.15321,0.06138,2.30683,3.70139,2.69364,0.000751087,0.000751087,0.000751087
6,97.7737,2.0821,3.18236,2.5376,0.33231,0.25052,0.21204,0.11058,1.9913,3.20499,2.45928,0.000746609,0.000746609,0.000746609
7,112.045,1.95466,2.94758,2.4279,0.17418,0.258,0.20127,0.1037,2.03281,3.15745,2.391,0.00074213,0.00074213,0.00074213
8,126.291,1.88765,2.8413,2.34593,0.26132,0.27726,0.24696,0.11145,1.99195,2.84019,2.31864,0.000737652,0.000737652,0.000737652
9,140.914,1.80745,2.66639,2.24578,0.21235,0.29338,0.21242,0.1155,1.92174,3.05927,2.33204,0.000733174,0.000733174,0.000733174
10,155.253,1.76156,2.5593,2.20584,0.30214,0.37816,0.30389,0.17758,1.70051,2.61128,2.09843,0.000728695,0.000728695,0.000728695
11,169.54,1.70372,2.43701,2.14289,0.33297,0.45725,0.35104,0.2181,1.58182,2.36578,1.97066,0.000724217,0.000724217,0.000724217
12,183.897,1.65002,2.3428,2.08478,0.45613,0.38364,0.35425,0.21377,1.54956,2.42268,1.93972,0.000719739,0.000719739,0.000719739
13,198.322,1.63666,2.26993,2.0651,0.28262,0.43098,0.31127,0.17641,1.67709,2.59753,2.0267,0.00071526,0.00071526,0.00071526
14,213.081,1.58596,2.18827,2.00849,0.43887,0.52483,0.34107,0.19371,1.69938,2.72534,2.01634,0.000710782,0.000710782,0.000710782
15,228.719,1.57467,2.12032,1.99016,0.43883,0.53216,0.47061,0.28809,1.45055,2.0277,1.84832,0.000706304,0.000706304,0.000706304
16,244.86,1.55423,2.05189,1.95935,0.3304,0.38433,0.36005,0.19762,1.67531,2.67893,1.9693,0.000701826,0.000701826,0.000701826
17,259.617,1.53679,2.05817,1.94532,0.43094,0.5252,0.46753,0.28317,1.64387,2.24807,1.92925,0.000697347,0.000697347,0.000697347
18,273.997,1.51904,2.01717,1.9222,0.5339,0.63898,0.56125,0.30875,1.59759,2.01717,1.84098,0.000692869,0.000692869,0.000692869
19,288.439,1.49918,1.93875,1.91205,0.45923,0.52656,0.45164,0.27647,1.51997,2.25536,1.84641,0.000688391,0.000688391,0.000688391
20,302.823,1.46529,1.91629,1.88198,0.59822,0.55662,0.51825,0.35162,1.28304,1.95204,1.69566,0.000683912,0.000683912,0.000683912
21,317.318,1.42645,1.8379,1.84743,0.48225,0.50331,0.48824,0.26988,1.56499,2.07451,1.85389,0.000679434,0.000679434,0.000679434
22,331.779,1.46693,1.85836,1.85065,0.42747,0.60116,0.51134,0.33027,1.37895,1.98799,1.71304,0.000674956,0.000674956,0.000674956
23,346.112,1.40388,1.80289,1.81857,0.54248,0.57523,0.54197,0.36433,1.33061,2.21948,1.71548,0.000670478,0.000670478,0.000670478
24,360.485,1.40768,1.78237,1.81045,0.46003,0.48688,0.49413,0.31218,1.43192,2.77788,1.87532,0.000665999,0.000665999,0.000665999
25,374.947,1.39801,1.70794,1.79589,0.49755,0.61482,0.5503,0.34535,1.36805,2.11171,1.67638,0.000661521,0.000661521,0.000661521
26,389.429,1.36448,1.68732,1.76261,0.58058,0.54912,0.58899,0.3743,1.33355,1.62549,1.61146,0.000657043,0.000657043,0.000657043
27,403.606,1.36221,1.67838,1.77036,0.53068,0.6514,0.62753,0.41676,1.36628,1.86313,1.66565,0.000652564,0.000652564,0.000652564
28,417.939,1.36883,1.66134,1.78144,0.57742,0.57039,0.60792,0.36063,1.43929,1.70171,1.69916,0.000648086,0.000648086,0.000648086
29,432.419,1.34139,1.61276,1.74326,0.57252,0.64994,0.57105,0.34552,1.47347,1.92563,1.74446,0.000643608,0.000643608,0.000643608
30,446.809,1.33227,1.58951,1.73332,0.52671,0.63189,0.56399,0.37651,1.33845,2.1458,1.63425,0.000639129,0.000639129,0.000639129
31,461.123,1.32912,1.58468,1.72313,0.54409,0.66477,0.62292,0.42915,1.22234,1.89141,1.588,0.000634651,0.000634651,0.000634651
32,475.471,1.316,1.55486,1.71195,0.56629,0.61087,0.62113,0.41444,1.21906,1.62225,1.55545,0.000630173,0.000630173,0.000630173
33,489.906,1.29535,1.50607,1.69248,0.66325,0.68846,0.7177,0.48568,1.22043,1.58489,1.55993,0.000625695,0.000625695,0.000625695
34,504.277,1.29184,1.50165,1.69619,0.63386,0.7173,0.71276,0.4685,1.22085,1.61224,1.55031,0.000621216,0.000621216,0.000621216
35,518.625,1.29177,1.51984,1.68723,0.58383,0.63661,0.61984,0.4159,1.29899,1.99477,1.65195,0.000616738,0.000616738,0.000616738
36,533.087,1.27684,1.48147,1.67219,0.55809,0.62659,0.63221,0.41975,1.39119,2.21086,1.68392,0.00061226,0.00061226,0.00061226
37,547.672,1.27931,1.50329,1.68663,0.62419,0.60376,0.68132,0.44529,1.30614,1.92826,1.62582,0.000607781,0.000607781,0.000607781
38,562.09,1.27548,1.44646,1.6665,0.63909,0.69061,0.70486,0.49846,1.16226,1.75186,1.55206,0.000603303,0.000603303,0.000603303
39,576.452,1.25932,1.41045,1.65455,0.66369,0.64586,0.69886,0.46344,1.20788,1.39309,1.53221,0.000598825,0.000598825,0.000598825
40,590.682,1.27296,1.41737,1.65714,0.70496,0.69387,0.68548,0.41951,1.39329,1.70964,1.6369,0.000594347,0.000594347,0.000594347
41,605.19,1.25075,1.40545,1.64838,0.58882,0.67579,0.69989,0.48509,1.20469,1.80107,1.54763,0.000589868,0.000589868,0.000589868
42,619.611,1.22001,1.37833,1.6219,0.5976,0.63173,0.68018,0.44827,1.29929,2.11547,1.56468,0.00058539,0.00058539,0.00058539
43,634.062,1.21682,1.37729,1.61833,0.72149,0.72495,0.77108,0.54004,1.13565,1.39268,1.49138,0.000580912,0.000580912,0.000580912
44,648.352,1.21181,1.3542,1.61914,0.66476,0.7253,0.73985,0.50074,1.23565,1.58771,1.53621,0.000576433,0.000576433,0.000576433
